PFS	1	1			1	1	1	1	2	2	1	3	3	3	3	3	3	3	1	1	1	1	2	2				2	1	1	3	3	2	2	1		1	2	3	3		3	3	1			3	3	1	1	3	3	1	1	1	1	1	
Sampling_Time	3	1	3	1	1	1	1	1	2	1	1	3	1	2	1	2	3	1	1	1	1	1	2	1	3	1	1	1	3	1	1	1	2	1	1	1	1	2	2	1	1	2	1	1	3	1	2	1	3	1	2	1	1	1	3	1	1	1
Disease_Status	4	4	3	3	4	4		4	2	2	4	2	2	3	3	3	3	3	4	4	4	4	3	3	3	3		3	4	4	3	1			4		4	3	2	2	3	3	3	4	3	3	1	1	4	4	2	2	4	4	4	4	4	
OTU	663-002_End_of_Treatment_S72_L008	663-002_Screening_Fecal_S71_L008	663-003_End_of_Treatment_S74_L008	663-003_Screening_Fecal_S73_L008	663-004_Screening_Fecal_S75_L008	663-005_Screening_Fecal_S76_L008	663-006_Screening_Fecal_S77_L008	663-007_Screening_Fecal_S78_L008	663-009_C7D1_S80_L008	663-009_Screening_Fecal_S79_L008	663-011_Screening_Fecal_S81_L008	663-012_End_of_Treatment_S83_L008	663-012_Screening_Fecal_S82_L008	663-013_C7D1_S85_L008	663-013_Screening_Fecal_S84_L008	663-014_C7D1_S87_L008	663-014_End_of_Treatment_S88_L008	663-014_Screening_Fecal_S86_L008	663-015_Screening_Fecal_S89_L008	663-016_Screening_Fecal_S90_L008	663-017_Screening_Fecal_S91_L008	663-018_Screening_Fecal_S92_L008	663-019_C7D1_S94_L008	663-019_Screening_Fecal_S93_L008	663-020_End_of_Treatment_S96_L008	663-020_Screening_Fecal_S95_L008	663-021_Screening_Fecal_S97_L008	663-022_Screening_Fecal_S98_L008	663-023_End_of_Treatment_S100_L008	663-023_Screening_Fecal_S99_L008	663-024_Screening_Fecal_S101_L008	663-025_Screening_Fecal_S102_L008	663-026_C7D1_S104_L008	663-026_Screening_Fecal_S103_L008	663-028_Screening_Fecal_S105_L008	663-029_Screening_Fecal_S106_L008	663-030_Screening_Fecal_S107_L008	663-031_C7D1_S108_L008	663-032_C7D1_S110_L008	663-032_Screening_Fecal_S109_L008	663-033_Screening_Fecal_S111_L008	663-034_C7D1_S113_L008	663-034_Screening_Fecal_S112_L008	663-038_Screening_Fecal_S114_L008	663-039_End_of_Treatment_S116_L008	663-039_Screening_Fecal_S115_L008	663-040_C7D1_S118_L008	663-040_Screening_Fecal_S117_L008	663-045_End_of_Treatment_S120_L008	663-045_Screening_Fecal_S119_L008	663-046_C7D1_S122_L008	663-046_Screening_Fecal_S121_L008	663-048_Screening_Fecal_S123_L008	663-051_Screening_Fecal_S124_L008	663-052_End_of_Treatment_S126_L008	663-052_Screening_Fecal_S125_L008	663-053_Screening_Fecal_S127_L008	663-054_Screening_Fecal_S128_L008
k__Bacteria	95.61804	98.56782	100	100	100	100	100	97.94044	99.96744	99.99147	100	100	100	100	99.89264	100	99.80261	100	99.91969	99.71262	100	100	100	99.61856	99.8208	99.81442	100	100	100	99.98	99.6127	99.94976	100	100	98.55725	100	100	100	100	100	99.76387	98.92142	100	98.09103	99.69466	100	99.43761	99.95376	100	100	100	100	100	100	100	100	89.30002	100
k__Bacteria|p__Bacteroidetes	7.04244	13.99421	59.11844	58.58402	10.16842	67.42185	52.60843	50.8872	37.11265	21.27224	26.05475	46.18223	62.32495	33.10249	45.84631	14.336	33.51717	28.27419	41.51618	24.39855	45.34104	59.98428	61.16348	31.19536	26.03789	42.04608	58.23983	15.13747	48.53414	48.40659	55.07213	37.17536	72.6329	59.90447	17.3886	76.14215	65.14358	16.07674	34.61992	40.20223	0.1349	13.00734	23.17785	20.59989	77.60952	83.68379	5.87453	21.86215	38.53264	40.06026	40.46815	48.5276	39.21686	20.77849	3.22249	65.26606	18.28654	37.89114
k__Bacteria|p__Firmicutes	77.39669	39.80842	34.65842	15.06198	63.75314	27.97656	35.45563	23.75951	21.00272	33.72148	26.35526	53.35733	34.5389	56.62902	42.97658	54.51551	43.21589	44.04451	54.24464	34.36284	49.45484	21.4024	34.51699	61.95262	64.0874	46.63599	18.43106	76.39987	30.46951	47.61289	31.23637	59.94682	23.30742	38.30336	31.16487	20.018	33.95593	53.25231	36.36172	55.79289	89.48439	69.40034	65.48262	67.87904	20.84329	13.47118	65.07696	65.14237	60.69688	56.06752	50.10104	44.42008	47.42278	71.63435	16.48942	29.56263	38.70347	59.85431
k__Bacteria|p__Actinobacteria	7.59722	37.87954	1.71774	0.66232	5.10016	3.08502	7.23532	3.90268	1.40727	1.25194	13.15082	0.46045	0.95128	9.44413	3.41424	16.86769	11.80758	8.75776	3.04939	40.18509	1.26176	0.81354	1.90691	5.40429	9.33416	6.63316	0.29613	5.89579	15.99928	2.18073	0.57578	1.84115	0.42145	0.54315	6.67696	0.5898	0.678	30.2524	0.30701	0	9.99092	11.43209	7.50857	8.19264	0.48298	0.34917	9.40676	5.45895	0.69597	3.87222	6.16671	4.51091	10.59147	5.08636	79.72114	2.66484	24.12311	0.39325
k__Bacteria|p__Proteobacteria	1.07578	2.8529	2.3498	2.82076	2.98905	0.50495	4.70061	19.16958	40.44479	37.9171	2.77331	0	0.05221	0.77899	7.27204	4.22968	9.40492	11.21887	1.07327	0.75366	3.94236	17.79978	2.40221	1.06628	0.36135	4.49669	16.69495	0.21886	2.15117	1.20988	2.593	0.98277	3.59083	0.93185	6.1607	3.23389	0.22249	0.41699	1.04905	4.00488	0.10595	5.06233	3.80381	1.41946	0.6901	1.52211	15.6752	7.03939	0.07452	0	3.23784	2.54142	2.76888	2.50081	0.56241	2.48952	0.45692	1.8225
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	7.04244	13.99421	59.11844	58.58402	10.16842	67.42185	52.60843	50.8872	37.11265	21.27224	26.05475	46.18223	62.32495	33.10249	45.84631	14.336	33.51717	28.27419	41.51618	24.39855	45.34104	59.98428	61.16348	31.19536	26.03789	42.04608	58.23983	15.13747	48.53414	48.40659	55.06131	37.17536	72.6329	59.90447	17.3886	76.14215	65.14358	16.07674	34.61992	40.20223	0.1349	13.00734	23.17785	20.59989	77.60952	83.68236	5.87453	21.86215	38.53264	40.06026	40.46815	48.52151	39.21686	20.77849	3.22249	65.26606	18.28654	37.89114
